,Essay_id,Original sentence,Corrected sentence,Error token indices,Correction token indices,Error_label,Education_level,L1,Error token pair,Split,#tags (errors),#token/source error,#token/target correct,Uni Tag 1,Uni tag 2,Uni tag 3,Error_label 1,Error_label 2,Error_label 3,Error_label 4
41,A16AT4,När jag kom först 2012 jag bodde i en kommunal lägenhet med 3 andra personer .,När jag först kom 2012 bodde jag i en kommunal lägenhet med 3 andra personer .,27-31,23-27,S-FinV,Nybörjare,Ungerska,bodde--bodde,train,1,1,1,S,,,S-FinV,,,
64,A16AT4,Ibland vi kan titta och lyssna på hur det funkar .,Ibland kan vi titta och lyssna på hur det funkar .,10-12,7-9,S-FinV,Nybörjare,Ungerska,kan--kan,train,1,1,1,S,,,S-FinV,,,
65,A16AT4,Ibland kan vi titta och lyssna på hur funkar det .,Ibland kan vi titta och lyssna på hur det funkar .,38-43,42-47,S-FinV,Nybörjare,Ungerska,funkar--funkar,train,1,1,1,S,,,S-FinV,,,
71,A16AT4,Människor som köper en ny lägenhet ofta renoverar bara en gång på 10 år i genomsnitt .,Människor som köper en ny lägenhet renoverar den ofta bara en gång på 10 år i genomsnitt .,36-40,49-52,S-Adv,Nybörjare,Ungerska,ofta--ofta,train,1,1,1,S,,,S-Adv,,,
105,G68GT4,"Nu bor jag på Norrby , Drottninggatan 22 i Tuna , och bor jag i en lägenhet på andra våningen .","Nu bor jag på Norrby , Drottninggatan 22 i Tuna , och jag bor i en lägenhet på andra våningen .",54-56,58-60,S-FinV,Nybörjare,Tigrinska,bor--bor,train,1,1,1,S,,,S-FinV,,,
253,G53GT3,"Det finns där ett stort centrum , en å och en stor fotbollsarena som heter A-stad arena .","Det finns ett stort centrum där , en å och en stor fotbollsarena som heter A-stad arena .",10-12,28-30,S-Adv,Nybörjare,Kurdiska,där--där,train,1,1,1,S,,,S-Adv,,,
303,C5CT2,"Tyvärr kommer jag inte att komma på kursen eftersom jag ramlade i trapporna och bröt mitt vänstra ben , så läkaren skrev ett intyg som jag skickar också till er .","Tyvärr kommer jag inte att komma på kursen eftersom jag ramlade i trapporna och bröt mitt vänstra ben , så läkaren skrev ett intyg som jag också skickar till er .",147-151,139-143,S-Adv,Nybörjare,Spanska,också--också,train,1,1,1,S,,,S-Adv,,,
395,C13CT2,Men nu jag är inte intresserad av den längre .,Men nu är jag inte intresserad av den längre .,11-12,7-8,S-FinV,Nybörjare,"Engelska, Luganda, Swahili",är--är,train,1,1,1,S,,,S-FinV,,,
401,C13CT2,Dessutom kursen passar inte bra för mig .,Dessutom passar kursen inte bra för mig .,16-21,9-14,S-FinV,Nybörjare,"Engelska, Luganda, Swahili",passar--passar,train,1,1,1,S,,,S-FinV,,,
478,C5CT1,"Till exempel , vad du tycker om att plugga en musikkurs ?","Till exempel , vad tycker du om att plugga en musikkurs ?",22-27,19-24,S-FinV,Nybörjare,Spanska,tycker--tycker,train,1,1,1,S,,,S-FinV,,,
